timestamp,gsr_value,label
2025-11-12T13:17:47.024927,512,terhidrasi
2025-11-12T13:17:47.025038,512,terhidrasi
2025-11-12T13:17:47.025126,512,terhidrasi
2025-11-12T13:17:47.025244,513,terhidrasi
2025-11-12T13:17:47.025353,514,terhidrasi
2025-11-12T13:17:47.029751,515,terhidrasi
2025-11-12T13:17:47.130337,516,terhidrasi
2025-11-12T13:17:47.231274,515,terhidrasi
2025-11-12T13:17:47.331873,515,terhidrasi
2025-11-12T13:17:47.432650,515,terhidrasi
2025-11-12T13:17:47.533646,515,terhidrasi
2025-11-12T13:17:47.634180,514,terhidrasi
2025-11-12T13:17:47.734993,513,terhidrasi
2025-11-12T13:17:47.835853,513,terhidrasi
2025-11-12T13:17:47.936509,512,terhidrasi
2025-11-12T13:17:48.037581,512,terhidrasi
2025-11-12T13:17:48.137869,512,terhidrasi
2025-11-12T13:17:48.239024,512,terhidrasi
2025-11-12T13:17:48.339585,513,terhidrasi
2025-11-12T13:17:48.440290,514,terhidrasi
2025-11-12T13:17:48.540886,515,terhidrasi
2025-11-12T13:17:48.654723,516,terhidrasi
2025-11-12T13:17:48.742667,517,terhidrasi
2025-11-12T13:17:48.843407,517,terhidrasi
2025-11-12T13:17:48.943950,517,terhidrasi
2025-11-12T13:17:49.045026,518,terhidrasi
2025-11-12T13:17:49.145695,519,terhidrasi
2025-11-12T13:17:49.246432,519,terhidrasi
2025-11-12T13:17:49.347072,519,terhidrasi
2025-11-12T13:17:49.447776,518,terhidrasi
2025-11-12T13:17:49.548482,519,terhidrasi
2025-11-12T13:17:49.649495,518,terhidrasi
2025-11-12T13:17:49.750098,518,terhidrasi
2025-11-12T13:17:49.850835,518,terhidrasi
2025-11-12T13:17:49.951852,517,terhidrasi
2025-11-12T13:17:50.052549,518,terhidrasi
2025-11-12T13:17:50.153049,518,terhidrasi
2025-11-12T13:17:50.253788,518,terhidrasi
2025-11-12T13:17:50.354535,518,terhidrasi
2025-11-12T13:17:50.455238,518,terhidrasi
2025-11-12T13:17:50.556269,517,terhidrasi
2025-11-12T13:17:50.656823,516,terhidrasi
2025-11-12T13:17:50.757514,516,terhidrasi
2025-11-12T13:17:50.858306,515,terhidrasi
2025-11-12T13:17:50.959081,515,terhidrasi
2025-11-12T13:17:51.059841,515,terhidrasi
2025-11-12T13:17:51.160647,515,terhidrasi
2025-11-12T13:17:51.261357,515,terhidrasi
2025-11-12T13:17:51.362165,516,terhidrasi
2025-11-12T13:17:51.463004,516,terhidrasi
2025-11-12T13:17:51.563716,517,terhidrasi
2025-11-12T13:17:51.664289,517,terhidrasi
2025-11-12T13:17:51.765101,517,terhidrasi
2025-11-12T13:17:51.866053,517,terhidrasi
2025-11-12T13:17:51.966939,517,terhidrasi
2025-11-12T13:17:52.067878,518,terhidrasi
2025-11-12T13:17:52.168234,518,terhidrasi
2025-11-12T13:17:52.269110,518,terhidrasi
2025-11-12T13:17:52.369943,519,terhidrasi
2025-11-12T13:17:52.470582,519,terhidrasi
2025-11-12T13:17:52.571144,519,terhidrasi
2025-11-12T13:17:52.672052,519,terhidrasi
2025-11-12T13:17:52.777020,519,terhidrasi
2025-11-12T13:17:52.873532,520,terhidrasi
2025-11-12T13:17:52.974141,519,terhidrasi
2025-11-12T13:17:53.075100,519,terhidrasi
2025-11-12T13:17:53.175952,519,terhidrasi
2025-11-12T13:17:53.276646,518,terhidrasi
2025-11-12T13:17:53.377530,518,terhidrasi
2025-11-12T13:17:53.478116,517,terhidrasi
2025-11-12T13:17:53.578929,516,terhidrasi
2025-11-12T13:17:53.679490,516,terhidrasi
2025-11-12T13:17:53.780409,516,terhidrasi
2025-11-12T13:17:53.880950,516,terhidrasi
2025-11-12T13:17:53.981796,517,terhidrasi
2025-11-12T13:17:54.082570,518,terhidrasi
2025-11-12T13:17:54.183322,518,terhidrasi
2025-11-12T13:17:54.284230,519,terhidrasi
2025-11-12T13:17:54.384777,520,terhidrasi
2025-11-12T13:17:54.485533,520,terhidrasi
2025-11-12T13:17:54.586349,520,terhidrasi
2025-11-12T13:17:54.687086,521,terhidrasi
2025-11-12T13:17:54.787775,521,terhidrasi
2025-11-12T13:17:54.888571,521,terhidrasi
2025-11-12T13:17:54.989240,521,terhidrasi
2025-11-12T13:17:55.089983,521,terhidrasi
2025-11-12T13:17:55.190945,522,terhidrasi
2025-11-12T13:17:55.291715,522,terhidrasi
2025-11-12T13:17:55.392410,521,terhidrasi
2025-11-12T13:17:55.493365,522,terhidrasi
2025-11-12T13:17:55.593917,522,terhidrasi
2025-11-12T13:17:55.694768,522,terhidrasi
2025-11-12T13:17:55.795342,521,terhidrasi
2025-11-12T13:17:55.896161,521,terhidrasi
2025-11-12T13:17:55.996817,521,terhidrasi
2025-11-12T13:17:56.097720,520,terhidrasi
2025-11-12T13:17:56.198836,520,terhidrasi
2025-11-12T13:17:56.299207,519,terhidrasi
2025-11-12T13:17:56.399865,519,terhidrasi
2025-11-12T13:17:56.500815,519,terhidrasi
2025-11-12T13:17:56.601405,519,terhidrasi
2025-11-12T13:17:56.702304,519,terhidrasi
2025-11-12T13:17:56.802870,520,terhidrasi
2025-11-12T13:17:56.903909,520,terhidrasi
2025-11-12T13:17:57.004632,521,terhidrasi
2025-11-12T13:17:57.105388,521,terhidrasi
2025-11-12T13:17:57.205892,522,terhidrasi
2025-11-12T13:17:57.306685,522,terhidrasi
2025-11-12T13:17:57.407431,522,terhidrasi
2025-11-12T13:17:57.508190,522,terhidrasi
2025-11-12T13:17:57.608931,523,terhidrasi
2025-11-12T13:17:57.709703,523,terhidrasi
2025-11-12T13:17:57.810446,523,terhidrasi
2025-11-12T13:17:57.911229,523,terhidrasi
2025-11-12T13:17:58.012223,523,terhidrasi
2025-11-12T13:17:58.112967,523,terhidrasi
2025-11-12T13:17:58.214094,523,terhidrasi
2025-11-12T13:17:58.314575,524,terhidrasi
2025-11-12T13:17:58.415009,524,terhidrasi
2025-11-12T13:17:58.515705,524,terhidrasi
2025-11-12T13:17:58.616772,525,terhidrasi
2025-11-12T13:17:58.717533,525,terhidrasi
2025-11-12T13:17:58.818163,524,terhidrasi
2025-11-12T13:17:58.922026,523,terhidrasi
2025-11-12T13:17:59.019776,523,terhidrasi
2025-11-12T13:17:59.120345,522,terhidrasi
2025-11-12T13:17:59.220987,522,terhidrasi
2025-11-12T13:17:59.321731,521,terhidrasi
2025-11-12T13:17:59.422593,522,terhidrasi
2025-11-12T13:17:59.523338,522,terhidrasi
2025-11-12T13:17:59.624249,523,terhidrasi
2025-11-12T13:17:59.724850,524,terhidrasi
2025-11-12T13:17:59.825703,524,terhidrasi
2025-11-12T13:17:59.926481,525,terhidrasi
2025-11-12T13:18:00.027056,525,terhidrasi
2025-11-12T13:18:00.127794,526,terhidrasi
2025-11-12T13:18:00.228574,526,terhidrasi
2025-11-12T13:18:00.329419,527,terhidrasi
2025-11-12T13:18:00.430174,527,terhidrasi
2025-11-12T13:18:00.530837,527,terhidrasi
2025-11-12T13:18:00.632174,527,terhidrasi
2025-11-12T13:18:00.732610,528,terhidrasi
2025-11-12T13:18:00.833430,528,terhidrasi
2025-11-12T13:18:00.940280,528,terhidrasi
2025-11-12T13:18:01.034773,528,terhidrasi
2025-11-12T13:18:01.135634,528,terhidrasi
2025-11-12T13:18:01.236400,527,terhidrasi
2025-11-12T13:18:01.337030,528,terhidrasi
2025-11-12T13:18:01.437831,527,terhidrasi
2025-11-12T13:18:01.538619,526,terhidrasi
2025-11-12T13:18:01.639357,525,terhidrasi
2025-11-12T13:18:01.740080,524,terhidrasi
2025-11-12T13:18:01.843460,524,terhidrasi
2025-11-12T13:18:01.941456,523,terhidrasi
2025-11-12T13:18:02.042330,523,terhidrasi
2025-11-12T13:18:02.143069,523,terhidrasi
2025-11-12T13:18:02.243769,523,terhidrasi
2025-11-12T13:18:02.344539,523,terhidrasi
2025-11-12T13:18:02.445429,524,terhidrasi
2025-11-12T13:18:02.545948,524,terhidrasi
2025-11-12T13:18:02.647022,525,terhidrasi
2025-11-12T13:18:02.747525,525,terhidrasi
2025-11-12T13:18:02.848231,525,terhidrasi
2025-11-12T13:18:02.949099,525,terhidrasi
2025-11-12T13:18:03.049800,526,terhidrasi
2025-11-12T13:18:03.150544,526,terhidrasi
2025-11-12T13:18:03.251230,526,terhidrasi
2025-11-12T13:18:03.352118,526,terhidrasi
2025-11-12T13:18:03.452849,526,terhidrasi
2025-11-12T13:18:03.553575,526,terhidrasi
2025-11-12T13:18:03.654336,526,terhidrasi
2025-11-12T13:18:03.755193,527,terhidrasi
2025-11-12T13:18:03.855799,526,terhidrasi
2025-11-12T13:18:03.956619,526,terhidrasi
2025-11-12T13:18:04.057390,526,terhidrasi
2025-11-12T13:18:04.158005,526,terhidrasi
2025-11-12T13:18:04.258751,525,terhidrasi
2025-11-12T13:18:04.359698,524,terhidrasi
2025-11-12T13:18:04.460340,523,terhidrasi
2025-11-12T13:18:04.561119,523,terhidrasi
2025-11-12T13:18:04.661803,522,terhidrasi
2025-11-12T13:18:04.762624,522,terhidrasi
2025-11-12T13:18:04.863430,522,terhidrasi
2025-11-12T13:18:04.964315,521,terhidrasi
2025-11-12T13:18:05.064856,521,terhidrasi
